"","V1","V2"
"148","V139_2_nobad.fas",400
"193","V15_2_nobad.fas",400
"229","V25_2_nobad.fas",400
"239","V266_2_nobad.fas",400
"258","V273_2_nobad.fas",400
"275","V27_2_nobad.fas",400
"365","V62_2_nobad.fas",400
"425","V96_2_nobad.fas",400
"22","NV349_2_nobad.fas",401
"48","V100_2_nobad.fas",401
"184","V155_2_nobad.fas",401
"220","V20_2_nobad.fas",401
"271","V277_2_nobad.fas",401
"327","V48_2_allnew.fas",401
"381","V71_2_nobot.fas",401
"408","V87_2_nobad.fas",401
"163","V144_2_nobad.fas",402
"35","NV353_2_nobad.fas",405
"361","V61_2_allnew_kal9704.fas",405
"84","V112_2_allnew_kal9704.fas",406
"196","V165_2_allnew.fas",407
"242","V267_2_nobad.fas",407
"317","V43_2_allnew_kal04.fas",407
"428","V97_2_allnew_kal9704.fas",407
"107","V120_2_allnew_kal9704.fas",409
"139","V135_2_nobad.fas",421
"28","NV351_2_nobad.fas",423
"254","V271_2_nob99.fas",463
"5","NV341_2_nob98_kal04.fas",469
"24","NV350_1_nob98_kal04.fas",472
"417","V91_2_allnew_kal04.fas",472
"200","V166_2_nob98_kal9704.fas",473
"190","V158_2_nobot.fas",483
"159","V143_1_nob98.fas",484
"61","V106_1_allnew_kal04.fas",503
"167","V145_2_nobad.fas",528
"91","V114_2_nobad.fas",533
"9","NV343_2_nobad.fas",535
"187","V157_2_nobad.fas",535
"136","V132_2_nobad.fas",536
"237","V265_2_nobot.fas",538
"287","V29_2_allnew.fas",544
"15","NV346_2_nobad.fas",545
"226","V23_2_nobad.fas",545
"264","V275_2_nobad.fas",545
"411","V89_2_nobad.fas",545
"434","V98_4_otnew_kal9704d99.fas",550
"4","NV341_1_nob98_kal04.fas",613
"199","V166_1_nob98_kal9704.fas",632
"416","V91_1_allnew_kal04.fas",634
"215","V1_1_allnew_asas.fas",702
"81","V111_2_nobad.fas",721
"156","V142_1_dan98_kal04.fas",1829
"314","V41_1_nobad.fas",1948
"18","NV347_1_nobad.fas",1954
"234","V264_1_nob99.fas",1961
"389","V77_1_nobot99.fas",1963
"177","V153_1_nob95.fas",2182
"245","V26_1_nob95.fas",2182
"320","V44_1_nob95.fas",2182
"414","V90_1_nob95.fas",2182
"266","V276_1_allnew_kal9704.fas",2187
"53","V102_1_nobad.fas",2301
"65","V107_1_nobad.fas",2301
"68","V108_1_nobad.fas",2301
"71","V109_1_nobad.fas",2301
"77","V110_1_nobad.fas",2301
"87","V113_1_nobad.fas",2301
"172","V147_1_nobot.fas",2301
"180","V154_1_nobad.fas",2301
"249","V270_1_nobad.fas",2301
"169","V146_1_nobad.fas",2303
"1","NV339_1_nobad.fas",2314
"83","V112_1_allnew_kal9704.fas",2314
"93","V115_1_nobad.fas",2314
"96","V117_1_nobot.fas",2314
"100","V118_1_nobad.fas",2314
"103","V119_1_nobad.fas",2314
"110","V121_1_nobad.fas",2314
"113","V122_1_nobad.fas",2314
"122","V128_1_nobad.fas",2314
"132","V131_1_nobad.fas",2314
"152","V141_1_nobad.fas",2314
"290","V30_1_nobot.fas",2314
"298","V34_1_nobad.fas",2314
"311","V40_1_nobad.fas",2314
"349","V59_1_nobot.fas",2314
"11","NV344_1_nobad.fas",2319
"37","NV354_1_nobad.fas",2319
"74","V10_1_nobad.fas",2319
"125","V12_1_nobad.fas",2319
"141","V136_1_nobad.fas",2319
"144","V137_1_nobad.fas",2319
"147","V139_1_nobad.fas",2319
"192","V15_1_nobad.fas",2319
"222","V21_1_nobad.fas",2319
"228","V25_1_nobad.fas",2319
"231","V263_1_nobad.fas",2319
"238","V266_1_nobad.fas",2319
"274","V27_1_nobad.fas",2319
"331","V4_1_nobad_kal9704.fas",2319
"337","V51_1_nobad.fas",2319
"346","V58_1_nobad.fas",2319
"353","V5_1_nobad.fas",2319
"364","V62_1_nobad.fas",2319
"370","V66_1_nobot.fas",2319
"424","V96_1_nobad.fas",2319
"162","V144_1_nobad.fas",2320
"260","V274_1_nobad.fas",2320
"356","V60_1_allnew_kal9704.fas",2320
"34","NV353_1_nobad.fas",2322
"21","NV349_1_nobad.fas",2323
"47","V100_1_nobad.fas",2324
"183","V155_1_nobad.fas",2324
"203","V169_1_nobad.fas",2324
"219","V20_1_nobad.fas",2324
"257","V273_1_nobad.fas",2324
"270","V277_1_nobad.fas",2324
"300","V35_1_nobad.fas",2324
"380","V71_1_nobot.fas",2324
"404","V86_1_nobad.fas",2324
"407","V87_1_nobad.fas",2324
"326","V48_1_allnew.fas",2326
"195","V165_1_allnew.fas",2330
"241","V267_1_nobad.fas",2331
"256","V272_1_allnew_kal9704.fas",2331
"316","V43_1_allnew_kal04.fas",2332
"106","V120_1_allnew_kal9704.fas",2336
"138","V135_1_nobad.fas",2336
"360","V61_1_allnew_kal9704.fas",2336
"427","V97_1_allnew_kal9704.fas",2336
"56","V103_1_nobad.fas",2349
"189","V158_1_nobot.fas",2388
"166","V145_1_nobad.fas",2428
"8","NV343_1_nobad.fas",2433
"90","V114_1_nobad.fas",2433
"135","V132_1_nobad.fas",2450
"236","V265_1_nobot.fas",2451
"263","V275_1_nobad.fas",2459
"14","NV346_1_nobad.fas",2461
"186","V157_1_nobad.fas",2461
"225","V23_1_nobad.fas",2461
"410","V89_1_nobad.fas",2461
"286","V29_1_allnew.fas",2464
"80","V111_1_nobad.fas",2614
"27","NV351_1_nobad.fas",4148
