#ID,id_fnl,RADECsource,RA,DEC,angdist,FeHfinal,eFeHfinal,FeHDavide,eFeHDavide,typ,Blaz,field,Per_Clement,PerBVIR_all,PeroptNIR,PerNIR,PerMIRwise,best,quP,mxf,T0max,mnf,T0min,fileV,orV,tensV,quV,amplV,erramplV,blazminV,blazmaxV,magV,errmagV,fileB,orB,tensB,quB,amplB,erramplB,blazminB,blazmaxB,magB,errmagB,fileI,orI,tensI,quI,amplI,erramplI,blazminI,blazmaxI,magI,errmagI,fileR,orR,tensR,quR,amplR,erramplR,blazminR,blazmaxR,magR,errmagR,fileU,orU,tensU,quU,amplU,erramplU,blazminU,blazmaxU,magU,errmagU,fileJ,orJ,tensJ,quJ,amplJ,erramplJ,blazminJ,blazmaxJ,magJ,errmagJ,fileH,orH,tensH,quH,amplH,erramplH,blazminH,blazmaxH,magH,errmagH,fileK,orK,tensK,quK,amplK,erramplK,blazminK,blazmaxK,magK,errmagK,Oost
NV456,-99,1,200.560375,-47.406011,46.253745,9.99,9.99,9.99,9.99,1,,,0.3835,0.38359107,-99.0,-99.0,0.38355712,0,0,-99,-99.0,-99,-99,asassn,5,0.0,-99,0.355,0.051,-99.0,-99.0,14.4847,0.0502,xxxxx,-99,0.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,xxxxx,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,xxxxx,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,vhs,93,-99.0,-99,-99.0,-99.0,-99.0,-99.0,13.5468,0.0028,2mass,94,-99.0,-99,-99.0,-99.0,-99.0,-99.0,13.305,0.04,vhs,93,-99.0,-99,-99.0,-99.0,-99.0,-99.0,13.3148,0.0044,
NV457,30,2,202.477333,-47.846111,38.445477,9.99,9.99,9.99,9.99,0,,1,0.50859,0.50861489,0.50861489,0.50861489,-99.0,0,0,-99,-99.0,-99,-99,cata,3,5.5,1,0.957,-99.0,-99.0,-99.0,16.4742,0.1201,nobad,-99,0.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,vhs,93,-99.0,-99,-99.0,-99.0,-99.0,-99.0,15.5396,0.0098,2mass,94,-99.0,-99,-99.0,-99.0,-99.0,-99.0,15.199,0.115,vhs,93,-99.0,-99,-99.0,-99.0,-99.0,-99.0,15.2493,0.0253,OoI
NV458,31,2,202.500375,-47.218231,36.403805,9.99,9.99,9.99,9.99,0,,1,0.62031,0.62030865,0.62030865,0.62030865,-99.0,0,0,-99,-99.0,-99,-99,cata,4,5.0,1,0.396,-99.0,-99.0,-99.0,15.7641,0.0901,nobad,-99,0.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,vhs,93,-99.0,-99,-99.0,-99.0,-99.0,-99.0,14.9444,0.0066,2mass,94,-99.0,-99,-99.0,-99.0,-99.0,-99.0,14.638,0.068,vhs,93,-99.0,-99,-99.0,-99.0,-99.0,-99.0,14.5642,0.0136,OoI
V1,122566,0,201.521542,-47.395194,8.649888,9.99,9.99,9.99,9.99,6,,,29.3479,29.337218,29.337218,29.305744,-99.0,0,0,1,-99.0,-99,-99,allnew_asas,97,17.0,0,1.025,0.033,-99.0,-99.0,10.8291,0.0294,allnew,5,11.0,0,1.355,0.062,-99.0,-99.0,11.4875,0.011,allnew,97,2.3,0,0.767,0.071,-99,-99,10.0858,0.0148,allnew,99,-99.0,-99,-99.0,-99.0,-99,-99,10.1025,0.0141,allnew,99,-99.0,-99,-99.0,-99.0,-99,-99,11.923,0.484,all170708b4,5,1.4,-98,0.788,0.083,-99.0,-99.0,9.3336,0.0216,all170708b4,99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,9.006,0.0047,all170708b4,5,5.0,0,0.743,0.064,-99.0,-99.0,8.879,0.0233,
V29,217936,0,201.613458,-47.479889,3.27454,9.99,9.99,9.99,9.99,5,,,14.73383,14.730319,14.739949,14.739949,-99.0,1,0,-99,-99.0,-99,-99,allnew,97,20.0,0,0.968,0.013,-99.0,-99.0,12.0121,0.0069,allnew,97,19.8,0,1.226,0.143,-99.0,-99.0,12.7762,0.0144,allnew,97,3.3,0,0.795,0.024,-99,-99,11.0516,0.018,allnew,99,-99.0,-99,-99.0,-99.0,-99,-99,11.507,0.0339,allnew,99,-99.0,-99,-99.0,-99.0,-99,-99,12.8665,0.1653,all170708b4,5,2.1,0,0.703,0.071,-99.0,-99.0,10.3996,0.0147,all170708b4,99,1.47,-99,-99.0,-99.0,-99.0,-99.0,9.7365,0.0729,all170708b4,97,1.9,0,0.757,0.078,-99.0,-99.0,9.8535,0.0257,
V43,256681,0,201.643792,-47.449389,2.732533,9.99,9.99,9.99,9.99,4,,,1.156889,1.1568588,1.1568588,1.1568588,-99.0,0,2,1,-99.0,1,-99,allnew_kal04,97,61.0,1,0.926,0.014,-99.0,-99.0,13.7559,0.0077,allnew_kal04,97,15.0,1,1.235,0.038,-99.0,-99.0,14.1261,0.0236,allnew_kal04,97,7.0,1,0.632,0.036,-99,-99,13.1482,0.0308,allnew_kal04,99,-99.0,-99,-99.0,-99.0,-99,-99,13.175,0.0712,allnew_kal04,97,-99.0,-98,1.084,0.056,-99,-99,14.4673,0.016,all170708b4,5,2.0,0,0.393,0.04,-99.0,-99.0,12.73,0.0127,all170708b4,3,0.44,0,0.252,0.035,-99.0,-99.0,12.4915,0.0057,all170708b4,97,0.9,0,0.274,0.029,-99.0,-99.0,12.4256,0.0125,
V48,275659,0,201.657542,-47.507083,2.220583,9.99,9.99,9.99,9.99,4,,,4.475218,4.4744013,4.4749736,4.4749736,-99.0,1,1,1,-99.0,1,-99,allnew,5,40.0,1,0.667,0.011,-99.0,-99.0,12.9239,0.0081,allnew,2,37.0,0,0.853,0.032,-99.0,-99.0,13.5278,0.0174,allnew,4,1.2,0,0.611,0.055,-99,-99,12.092,0.0122,allnew,99,-99.0,-99,-99.0,-99.0,-99,-99,12.317,0.0375,allnew,97,-99.0,-98,0.855,0.13,-99,-99,13.8445,0.0143,all170708b4,97,2.46,0,0.433,0.037,-99.0,-99.0,11.4697,0.0125,all170708b4,97,1.45,-98,0.438,0.053,-99.0,-99.0,11.078,0.0094,all170708b4,97,3.0,0,0.408,0.038,-99.0,-99.0,11.0341,0.0107,
V60,263590,0,201.648708,-47.546806,4.434341,9.99,9.99,9.99,9.99,4,,,1.349469,1.349493,1.349493,1.349493,-99.0,0,2,1,-99.0,1,-99,allnew_kal9704,97,20.0,1,1.006,0.014,-99.0,-99.0,13.6252,0.0076,allnew_kal9704,97,10.5,1,1.298,0.035,-99.0,-99.0,14.0263,0.0174,allnew_kal9704,97,4.5,1,0.665,0.081,-99,-99,13.0007,0.0709,allnew_kal9704,99,-99.0,-99,-99.0,-99.0,-99,-99,13.42,0.0784,allnew_kal9704,97,-99.0,-98,0.938,0.15,-99,-99,14.353,0.0255,all170708b4,97,0.33,0,0.453,0.053,-99.0,-99.0,12.5837,0.0054,all170708b4,97,0.45,0,0.301,0.036,-99.0,-99.0,12.295,0.0083,all170708b4,97,1.55,0,0.279,0.027,-99.0,-99.0,12.2807,0.0077,
V61,478931,0,201.808208,-47.458639,4.792373,9.99,9.99,9.99,9.99,4,,,2.273566,2.2736663,2.2736663,2.2736663,-99.0,0,1,1,-99.0,1,-99,allnew_kal9704,5,19.0,1,0.548,0.009,-99.0,-99.0,13.6614,0.0031,allnew_kal9704,4,15.0,0,0.773,0.027,-99.0,-99.0,14.293,0.0044,allnew_kal9704,4,3.5,0,0.365,0.029,-99,-99,12.8207,0.0132,allnew_kal9704,99,-99.0,-99,-99.0,-99.0,-99,-99,13.254,0.0642,allnew_kal9704,4,3.0,-98,0.89,0.131,-99,-99,14.487,0.017,all170708b4,97,0.7,0,0.411,0.038,-99.0,-99.0,12.1897,0.007,all170708b4,97,0.34,-98,0.425,0.048,-99.0,-99.0,11.811,0.0069,all170708b4,97,3.65,-98,0.397,0.034,-99.0,-99.0,11.7707,0.0079,
V92,159007,0,201.56175,-47.354139,9.254178,9.99,9.99,9.99,9.99,4,,,1.34604,1.3461514,1.3461514,1.3461514,-99.0,0,1,1,-99.0,1,-99,otnew_kal04,97,8.4,1,0.323,0.008,-99.0,-99.0,13.9462,0.0031,otnew_kal04,97,1.4,0,0.438,0.027,-99.0,-99.0,14.4816,0.0062,otnew_kal04,97,0.8,0,0.184,0.028,-99,-99,13.204,0.0107,otnew_kal04,97,-99.0,-98,0.207,0.057,-99,-99,13.5666,0.0375,otnew_kal04,97,-99.0,-98,0.482,0.056,-99,-99,14.5896,0.0163,all170708b4,97,0.12,0,0.189,0.025,-99.0,-99.0,12.7,0.004,all170708b4,4,1.65,-98,0.21,0.031,-99.0,-99.0,12.3398,0.0099,all170708b4,4,1.2,0,0.187,0.027,-99.0,-99.0,12.313,0.0082,
