#ID,id_fnl,RADECsource,RA,DEC,angdist,FeHfinal,eFeHfinal,FeHDavide,eFeHDavide,typ,Blaz,field,Per_Clement,PerBVIR_all,PeroptNIR,PerNIR,PerMIRwise,best,quP,mxf,T0max,mnf,T0min,fileV,orV,tensV,quV,amplV,erramplV,blazminV,blazmaxV,magV,errmagV,fileB,orB,tensB,quB,amplB,erramplB,blazminB,blazmaxB,magB,errmagB,fileI,orI,tensI,quI,amplI,erramplI,blazminI,blazmaxI,magI,errmagI,fileR,orR,tensR,quR,amplR,erramplR,blazminR,blazmaxR,magR,errmagR,fileU,orU,tensU,quU,amplU,erramplU,blazminU,blazmaxU,magU,errmagU,fileJ,orJ,tensJ,quJ,amplJ,erramplJ,blazminJ,blazmaxJ,magJ,errmagJ,fileH,orH,tensH,quH,amplH,erramplH,blazminH,blazmaxH,magH,errmagH,fileK,orK,tensK,quK,amplK,erramplK,blazminK,blazmaxK,magK,errmagK,Oost
V3,95909,0,201.483917,-47.43175,9.004934,-1.72,0.04,9.99,9.99,0,,,0.8413,0.84126158,0.84126158,0.84126158,-99.0,0,0,1,2455715.5717,-99,-99,otnew_kal9704,3,8.0,1,0.761,-99.0,-99.0,-99.0,14.3913,0.0041,nobad,3,0.1,0,0.934,-99.0,-99.0,-99.0,14.8883,0.0053,nobad,4,0.35,-98,0.401,-99.0,-99,-99,13.6846,0.0103,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,0.8,-98,1.054,-99.0,-99,-99,15.017,0.0151,all170708b4,97,0.42,1,0.353,0.029,-99.0,-99.0,13.1818,0.0074,all170708b4,97,0.85,0,0.3,0.029,-99.0,-99.0,12.8945,0.0073,all170708b4,3,0.39,1,0.285,0.027,-99.0,-99.0,12.8644,0.0087,OoII
V4,151110,0,201.553833,-47.405389,7.2327,-1.96,0.08,-1.82,0.1,0,,,0.6273,0.62731846,0.62731846,0.62731846,-99.0,0,0,1,2454705.2537,-99,-99,nobad_kal9704,3,50.0,1,1.119,-99.0,-99.0,-99.0,14.4672,0.0089,nobad_kal9704,4,7.0,1,1.525,-99.0,-99.0,-99.0,14.8817,0.0051,nobad_kal9704,4,8.0,0,0.904,-99.0,-99,-99,13.7865,0.0177,nobad,99,0.0,0,-99.0,-99.0,-99,-99,14.462,0.1805,nobad_u,99,0.0,0,-99.0,-99.0,-99,-99,15.207,0.1854,all170708b4,3,0.2,0,0.494,0.054,-99.0,-99.0,13.3784,0.0076,all170708b4,4,0.45,0,0.333,0.031,-99.0,-99.0,13.1057,0.0081,all170708b4,3,1.6,0,0.316,0.02,-99.0,-99.0,13.0771,0.009,OoII
V5,174660,0,201.576333,-47.386944,7.336468,-1.22,0.43,-1.4,0.03,0,1,,0.5153,0.51528002,0.51528002,0.51528002,-99.0,0,1,1,2452743.4918,-99,-99,nobad,3,62.0,1,1.245,-99.0,0.852,1.271,14.7023,0.0114,nobad,3,12.0,1,1.021,-99.0,-99.0,-99.0,15.1966,0.0135,nob98,4,14.0,0,0.437,-99.0,-99,-99,14.1744,0.0306,nobad,3,1.0,1,1.118,-99.0,-99,-99,14.3593,0.012,nobad_u,4,10.0,-98,0.972,-99.0,-99,-99,15.3025,0.028,all170708b4,5,6.1,0,0.441,0.028,-99.0,-99.0,13.6685,0.0121,all170708b4,4,4.9,0,0.354,0.043,-99.0,-99.0,13.4882,0.0187,all170708b4,4,4.2,0,0.334,0.016,-99.0,-99.0,13.4094,0.0116,OoI
V7,411423,0,201.75425,-47.233389,14.972834,-1.66,0.07,-1.76,0.03,0,,,0.713,0.7130342,0.7130342,0.7130342,-99.0,0,-1,1,2449191.0218,-99,-99,nobad_kal97,4,1.6,1,0.95,-99.0,-99.0,-99.0,14.5938,0.0101,nobad_kal97,3,1.7,-99,0.885,-99.0,-99.0,-99.0,14.8958,0.0103,nobad_kal97,4,0.2,-98,0.293,-99.0,-99,-99,13.7675,0.0121,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,1.2,-99,0.739,-99.0,-99,-99,15.0677,0.0165,all170708b4,5,0.1,1,0.428,0.041,-99.0,-99.0,13.2893,0.0048,all170708b4,97,0.08,0,0.305,0.025,-99.0,-99.0,13.0177,0.0061,all170708b4,4,0.2,0,0.312,0.028,-99.0,-99.0,12.9755,0.0065,OoII
V8,589575,0,201.951792,-47.472444,10.455503,-1.78,0.45,-2.19,0.07,0,,,0.5213,0.52132593,0.52132593,0.52132593,-99.0,0,0,1,2452443.1571,-99,-99,allnew_kal9704,3,30.0,1,1.263,-99.0,-99.0,-99.0,14.6714,0.0052,nobad,5,0.4,-98,1.467,-99.0,-99.0,-99.0,15.016,0.0083,nobad,4,0.3,0,0.695,-99.0,-99,-99,14.0456,0.014,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,1.5,-99,1.368,-99.0,-99,-99,15.1264,0.0216,all170708b4,1,0.1,0,0.449,0.056,-99.0,-99.0,13.5769,0.0043,all170708b4,3,0.7,0,0.344,0.018,-99.0,-99.0,13.341,0.0089,all170708b4,4,0.2,0,0.295,0.017,-99.0,-99.0,13.305,0.005,OoI
V9,105270,0,201.498208,-47.440139,8.298623,-1.62,0.31,9.99,9.99,0,1,,0.5235,0.52346446,0.52335114,0.52335114,-99.0,1,-1,1,2452446.1982,-99,-99,otnew_kal9704,2,112.0,1,0.923,-99.0,0.7,1.17,14.7788,0.0056,otnew_kal9704,4,48.0,0,1.348,-99.0,-99.0,-99.0,15.204,0.01,otnew_kal9704,4,7.5,0,0.516,-99.0,-99,-99,14.1754,0.0234,nobad,99,0.0,0,-99.0,-99.0,-99,-99,14.498,0.1789,nobad_u,99,0.0,0,-99.0,-99.0,-99,-99,15.5925,0.4028,all170708b4,5,2.0,1,0.32,0.05,-99.0,-99.0,13.6409,0.0102,all170708b4,97,0.47,0,0.175,0.033,-99.0,-99.0,13.4298,0.0053,all170708b4,5,3.0,0,0.225,0.025,-99.0,-99.0,13.3778,0.0095,OoI
V10,128819,0,201.529125,-47.410306,7.887333,-1.87,0.02,-2.23,0.04,1,,,0.375,0.37488161,0.37475609,0.37475609,-99.0,2,-1,3,2452446.22,-99,-99,nobad,4,162.0,1,0.421,-99.0,-99.0,-99.0,14.5047,0.0132,nobad,4,22.0,0,0.565,-99.0,-99.0,-99.0,14.826,0.0165,nob98,2,8.0,1,0.28,-99.0,-99,-99,13.9191,0.0235,nobad,3,6.5,0,0.539,-99.0,-99,-99,14.0275,0.0184,nobad_u,4,13.0,-98,0.694,-99.0,-99,-99,14.8689,0.0308,all170708b4,97,2.1,0,0.153,0.013,-99.0,-99.0,13.5514,0.006,all170708b4,5,1.2,-99,0.092,0.013,-99.0,-99.0,13.3158,0.0173,all170708b4,4,2.0,0,0.08,0.01,-99.0,-99.0,13.3133,0.0095,
V11,234751,0,201.62725,-47.383889,6.353434,-1.89,0.18,-1.88,0.05,0,1,,0.5648,0.5648065,0.5648065,0.5648065,-99.0,0,-2,-99,-99.0,-99,-99,dan95,3,3.0,1,0.893,-99.0,0.453,1.017,14.4757,0.0351,dan95,3,4.0,0,1.114,-99.0,0.784,1.261,14.8658,0.0259,nobad,2,13.0,1,0.576,-99.0,-99,-99,13.8864,0.032,nobad,99,0.0,0,-99.0,-99.0,-99,-99,14.406,0.2209,nobad_u,4,6.0,-99,0.675,-99.0,-99,-99,15.0451,0.0204,all170708b4,3,0.2,0,0.248,0.023,-99.0,-99.0,13.4739,0.0053,all170708b4,3,1.3,0,0.189,0.023,-99.0,-99.0,13.209,0.0079,all170708b4,5,0.7,1,0.196,0.016,-99.0,-99.0,13.1893,0.0062,OoI
V12,217444,0,201.613208,-47.401861,5.706794,-1.71,0.0,-2.37,0.04,1,,,0.3868,0.3867673,0.38677657,0.38677657,-99.0,1,2,1,2452443.7065,-99,-99,nobad,2,19.0,1,0.438,-99.0,-99.0,-99.0,14.4982,0.0084,nobad,4,4.0,1,0.562,-99.0,-99.0,-99.0,14.8911,0.0159,nobad,3,8.0,1,0.303,-99.0,-99,-99,13.9154,0.0298,nobad,3,0.5,1,0.338,-99.0,-99,-99,14.2072,0.0092,nobad_u,3,10.0,-98,0.606,-99.0,-99,-99,14.95,0.0236,all170708b4,3,1.3,-99,0.172,0.019,-99.0,-99.0,13.5453,0.0112,all170708b4,5,0.14,-99,0.118,0.021,-99.0,-99.0,13.2992,0.015,all170708b4,5,0.4,-99,0.113,0.015,-99.0,-99.0,13.2813,0.0101,
V13,101281,0,201.492375,-47.422806,8.873415,-1.8,0.23,9.99,9.99,0,,,0.669,0.66904841,0.66904841,0.66904841,-99.0,0,0,-99,-99.0,-99,-99,otnew_kal9704,3,16.0,1,0.959,-99.0,-99.0,-99.0,14.4709,0.0042,nobad,3,0.6,0,1.215,-99.0,-99.0,-99.0,14.8726,0.007,nobad,4,0.6,-98,0.44,-99.0,-99,-99,13.8281,0.0092,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,2.5,-99,0.934,-99.0,-99,-99,15.0251,0.0223,all170708b4,4,1.2,1,0.405,0.026,-99.0,-99.0,13.3147,0.0077,all170708b4,3,1.0,0,0.33,0.028,-99.0,-99.0,13.0388,0.0079,all170708b4,4,1.2,0,0.307,0.015,-99.0,-99.0,13.011,0.0084,OoII
V14,106105,0,201.498583,-47.652778,13.057628,-1.79,0.33,9.99,9.99,1,,,0.3771,0.37712562,0.37712562,0.37710263,-99.0,1,1,-99,-99.0,-99,-99,otnew_kal04,3,10.5,1,0.477,-99.0,-99.0,-99.0,14.5198,0.0243,nobad,2,0.45,0,0.598,-99.0,-99.0,-99.0,14.8597,0.0672,nobad,2,0.32,0,0.295,-99.0,-99,-99,13.9938,0.0499,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,5,0.25,-98,0.737,-99.0,-99,-99,15.0796,0.0293,all170708b4,4,0.1,0,0.205,0.018,-99.0,-99.0,13.5746,0.0032,all170708b4,4,0.32,0,0.113,0.011,-99.0,-99.0,13.3516,0.0047,all170708b4,97,0.25,0,0.11,0.009,-99.0,-99.0,13.3465,0.0054,
V15,217011,0,201.612833,-47.410694,5.291694,-1.72,0.01,-1.68,0.35,0,,,0.8106,0.81065426,0.81065426,0.81065426,-99.0,0,2,1,2454705.608,-99,-99,nobad,3,13.0,1,0.724,-99.0,-99.0,-99.0,14.3682,0.0097,nobad,3,19.5,1,0.884,-99.0,-99.0,-99.0,14.9042,0.0237,nob98,3,6.0,1,0.481,-99.0,-99,-99,13.686,0.034,nobad,99,0.0,0,-99.0,-99.0,-99,-99,14.163,0.0913,nobad_u,3,11.0,-98,0.926,-99.0,-99,-99,15.0108,0.0255,all170708b4,5,0.9,0,0.353,0.024,-99.0,-99.0,13.1784,0.0065,all170708b4,3,1.1,0,0.309,0.033,-99.0,-99.0,12.8434,0.0083,all170708b4,3,1.14,0,0.287,0.037,-99.0,-99.0,12.85,0.0075,OoII
V16,565283,0,201.907125,-47.626444,12.319704,-1.48,0.12,-2.0,0.11,1,,,0.3302,0.3301961,0.3301961,0.3301961,-99.0,0,-1,2,2451766.5041,-99,-99,otnew_kal9704,3,22.5,1,0.487,-99.0,-99.0,-99.0,14.5583,0.0041,otnew_kal9704,3,2.0,1,0.685,-99.0,-99.0,-99.0,14.9115,0.0033,nobad,3,1.0,-99,0.305,-99.0,-99,-99,14.0424,0.0125,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,99,0.0,0,-99.0,-99.0,-99,-99,15.1539,0.1034,all170708b4,97,0.13,0,0.182,0.015,-99.0,-99.0,13.6883,0.0027,all170708b4,97,0.8,0,0.072,0.009,-99.0,-99.0,13.4678,0.0048,all170708b4,3,0.28,1,0.103,0.01,-99.0,-99.0,13.4811,0.0037,
V18,582856,0,201.93775,-47.415833,10.601921,-1.94,0.06,-1.89,0.52,0,,,0.6217,0.62168636,0.62168636,0.62168636,-99.0,0,-1,1,2455711.5797,-99,-99,allnew_kal9704,3,18.0,1,1.152,-99.0,-99.0,-99.0,14.5512,0.0051,nobad,4,4.0,0,1.307,-99.0,-99.0,-99.0,14.8413,0.0046,nobad,3,0.3,-98,0.574,-99.0,-99,-99,13.8492,0.0099,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,allnew_kal9704,3,0.25,0,1.333,-99.0,-99,-99,15.2156,0.0115,all170708b4,97,1.25,0,0.525,0.021,-99.0,-99.0,13.4205,0.0068,all170708b4,5,1.15,0,0.246,0.014,-99.0,-99.0,13.1371,0.0079,all170708b4,3,1.2,0,0.323,0.017,-99.0,-99.0,13.1274,0.0069,OoII
V19,543803,0,201.8755,-47.468278,7.384393,-1.37,0.05,9.99,9.99,1,,,0.2996,0.29955165,0.29955165,0.29955165,-99.0,0,0,1,2455715.4767,-99,-99,allnew_kal9704,4,32.0,1,0.442,-99.0,-99.0,-99.0,14.8292,0.0051,nobad,3,14.0,0,0.571,-99.0,-99.0,-99.0,15.1333,0.0153,nobad,3,7.0,0,0.277,-99.0,-99,-99,14.3185,0.0398,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,5.2,-99,0.391,-99.0,-99,-99,15.4552,0.0202,all170708b4,97,0.4,1,0.169,0.017,-99.0,-99.0,13.8636,0.0038,all170708b4,97,0.7,0,0.088,0.01,-99.0,-99.0,13.6605,0.0045,all170708b4,5,0.34,1,0.111,0.009,-99.0,-99.0,13.6527,0.0052,
V20,479238,0,201.8085,-47.468583,4.682379,-1.62,0.08,-1.76,0.02,0,,,0.6156,0.61556372,0.61558779,0.61558779,-99.0,2,2,1,2452743.285,-99,-99,nobad,3,12.0,1,1.098,-99.0,-99.0,-99.0,14.5404,0.0077,nobad,2,13.0,0,1.376,-99.0,-99.0,-99.0,14.9903,0.0177,nob98,3,6.0,1,0.686,-99.0,-99,-99,13.8981,0.0355,nobad,4,1.0,-98,0.948,-99.0,-99,-99,14.2094,0.0079,nobad_u,5,13.9,-99,0.888,-99.0,-99,-99,15.1576,0.0359,all170708b4,4,0.45,0,0.465,0.039,-99.0,-99.0,13.4093,0.0059,all170708b4,5,0.87,0,0.261,0.021,-99.0,-99.0,13.1145,0.0075,all170708b4,4,3.2,0,0.311,0.019,-99.0,-99.0,13.1001,0.0073,OoII
V21,144349,0,201.546458,-47.433167,6.61188,-1.16,0.45,-0.85,0.02,1,,,0.3808,0.38080948,0.38080948,0.38080948,-99.0,0,1,1,2452446.2269,-99,-99,nobad,3,60.0,1,0.476,-99.0,-99.0,-99.0,14.4314,0.0087,nobad,3,14.0,0,0.624,-99.0,-99.0,-99.0,14.6977,0.0134,nob98,3,8.0,1,0.248,-99.0,-99,-99,13.9077,0.0244,nobad,3,3.0,1,0.376,-99.0,-99,-99,14.135,0.0094,nobad_u,3,5.4,-99,0.555,-99.0,-99,-99,15.0455,0.0182,all170708b4,5,0.5,0,0.198,0.023,-99.0,-99.0,13.5528,0.0094,all170708b4,5,0.5,0,0.118,0.013,-99.0,-99.0,13.3692,0.0079,all170708b4,5,0.5,0,0.11,0.015,-99.0,-99.0,13.3704,0.0091,
V22,573609,0,201.921042,-47.568917,10.632577,-1.81,0.08,-1.79,0.11,1,2,,0.3961,0.39608414,0.39616527,0.39616527,-99.0,1,0,1,2451390.6816,-99,-99,otnew_kal9704,3,11.0,1,0.441,-99.0,-99.0,-99.0,14.5454,0.0041,otnew,4,5.9,0,0.528,-99.0,-99.0,-99.0,14.8574,0.0085,otnew,4,0.8,-98,0.323,-99.0,-99,-99,13.922,0.0106,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,3,2.5,-98,0.533,-99.0,-99,-99,15.131,0.0227,all170708b4,3,1.0,0,0.174,0.014,-99.0,-99.0,13.5358,0.0049,all170708b4,4,3.2,0,0.12,0.012,-99.0,-99.0,13.292,0.0077,all170708b4,4,1.1,0,0.115,0.012,-99.0,-99.0,13.2888,0.0058,
V23,327062,0,201.693667,-47.411028,4.113392,-1.21,0.14,-1.32,0.04,0,,,0.5109,0.51087033,0.51087033,0.51087033,-99.0,0,2,1,2454705.643,-99,-99,nobad,3,20.0,1,1.079,-99.0,-99.0,-99.0,14.8212,0.0108,nobad,3,9.5,1,1.348,-99.0,-99.0,-99.0,15.2106,0.0206,nob98,3,8.0,1,0.705,-99.0,-99,-99,14.1923,0.0292,nobad,99,0.0,0,-99.0,-99.0,-99,-99,14.68,0.2642,nobad_u,3,2.0,0,1.493,-99.0,-99,-99,15.3036,0.0172,all170708b4,5,1.0,0,0.441,0.054,-99.0,-99.0,13.7169,0.0055,all170708b4,97,5.5,-99,0.282,0.033,-99.0,-99.0,13.4454,0.0096,all170708b4,2,1.2,0,0.357,0.029,-99.0,-99.0,13.3958,0.0077,OoI
V24,567013,0,201.909708,-47.570833,10.299351,-2.07,0.16,-1.89,0.07,1,,,0.4623,0.46222155,0.46222155,0.46222155,-99.0,0,-1,2,2451306.7491,-99,-99,nobad,4,1.2,0,0.408,-99.0,-99.0,-99.0,14.4481,0.0084,nobad,4,1.3,0,0.469,-99.0,-99.0,-99.0,14.8105,0.0079,nobad,4,0.6,0,0.229,-99.0,-99,-99,13.8276,0.0092,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,99,0.0,0,-99.0,-99.0,-99,-99,15.141,0.0838,all170708b4,97,1.0,1,0.162,0.015,-99.0,-99.0,13.3961,0.0047,all170708b4,5,1.3,0,0.12,0.013,-99.0,-99.0,13.1248,0.008,all170708b4,5,1.5,0,0.093,0.013,-99.0,-99.0,13.1225,0.0057,
V25,209172,0,201.60625,-47.473278,3.587248,-1.79,0.07,9.99,9.99,0,,,0.5884,0.5883543,0.58851546,0.58851546,-99.0,2,1,3,2452446.2857,-99,-99,nobad,4,75.0,1,0.912,-99.0,-99.0,-99.0,14.4705,0.0097,nobad,3,42.0,0,1.16,-99.0,-99.0,-99.0,14.8893,0.0166,nob98,3,2.2,1,0.639,-99.0,-99,-99,13.8936,0.0296,nobad,3,0.6,-98,0.82,-99.0,-99,-99,14.0653,0.0103,nobad_u,99,0.0,0,-99.0,-99.0,-99,-99,15.2094,0.2515,all170708b4,3,1.15,0,0.437,0.054,-99.0,-99.0,13.458,0.0095,all170708b4,2,0.45,0,0.364,0.045,-99.0,-99.0,13.1944,0.0076,all170708b4,3,1.5,0,0.293,0.029,-99.0,-99.0,13.1571,0.0118,OoI
V26,199906,0,201.598375,-47.449972,4.275016,-1.85,0.11,-1.99,0.03,0,,,0.7847,0.78472145,0.78472145,0.78472145,-99.0,0,1,1,2454705.3909,-99,-99,nob95,3,26.0,1,0.618,-99.0,-99.0,-99.0,14.4704,0.0081,nob95,3,5.0,0,0.786,-99.0,-99.0,-99.0,14.9961,0.0104,nob95,5,8.0,0,0.393,-99.0,-99,-99,13.7731,0.0151,nob95,4,8.5,-98,0.446,-99.0,-99,-99,14.003,0.0133,nobad_u,5,6.6,-99,0.474,-99.0,-99,-99,15.1091,0.0214,all170708b4,3,0.3,0,0.317,0.027,-99.0,-99.0,13.2223,0.005,all170708b4,97,0.42,0,0.276,0.024,-99.0,-99.0,12.9267,0.0069,all170708b4,5,0.35,1,0.23,0.02,-99.0,-99.0,12.875,0.0061,OoII
V27,211712,0,201.608417,-47.471417,3.513826,-1.26,0.03,-1.44,0.53,0,,,0.6157,0.61569276,0.61569276,0.61569276,-99.0,0,1,1,2455712.7353,-99,-99,nobad,3,38.0,1,0.562,-99.0,-99.0,-99.0,14.6652,0.0117,nobad,2,26.0,0,0.707,-99.0,-99.0,-99.0,15.2484,0.0237,nob98,4,7.6,1,0.341,-99.0,-99,-99,13.9679,0.0322,nobad,5,1.84,0,0.406,-99.0,-99,-99,14.2287,0.0115,nobad_u,4,2.3,-98,0.685,-99.0,-99,-99,15.4478,0.0189,all170708b4,5,0.02,0,0.237,0.021,-99.0,-99.0,13.5285,0.0034,all170708b4,97,0.85,0,0.21,0.027,-99.0,-99.0,13.2197,0.0077,all170708b4,5,0.3,0,0.248,0.02,-99.0,-99.0,13.1983,0.0056,OoI
V30,164241,0,201.566333,-47.499056,5.313595,-1.79,0.15,9.99,9.99,1,2,,0.4044,0.40423516,0.40423516,0.40397132,-99.0,1,2,1,2450985.7811,-99,-99,nobot,3,53.0,1,0.393,-99.0,-99.0,-99.0,14.4511,0.0096,nobot,2,13.0,0,0.443,-99.0,-99.0,-99.0,14.8134,0.0211,nobot,3,5.0,1,0.216,-99.0,-99,-99,13.8816,0.0314,nobad,3,2.0,1,0.276,-99.0,-99,-99,13.9619,0.0085,nobad_u,99,0.0,0,-99.0,-99.0,-99,-99,15.089,0.1475,all170708b4,97,1.0,0,0.151,0.009,-99.0,-99.0,13.5206,0.0065,all170708b4,3,0.8,0,0.073,0.011,-99.0,-99.0,13.2626,0.0088,all170708b4,3,1.3,0,0.105,0.013,-99.0,-99.0,13.2462,0.0081,
V32,424182,0,201.763917,-47.360917,7.662966,-1.73,0.04,-1.79,0.25,0,2,,0.6204,0.62036776,0.62036776,0.62036776,-99.0,0,1,1,2449869.854,-99,-99,nobad,3,1.8,1,1.177,-99.0,1.133,1.242,14.4848,0.0127,nobad,3,1.8,1,1.437,-99.0,-99.0,-99.0,14.8596,0.014,nobad,4,1.3,1,0.801,-99.0,-99,-99,13.8737,0.0237,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,4.0,-99,1.001,-99.0,-99,-99,14.9898,0.019,all170708b4,3,0.2,0,0.388,0.03,-99.0,-99.0,13.4632,0.0044,all170708b4,5,0.3,1,0.321,0.027,-99.0,-99.0,13.1667,0.0064,all170708b4,4,0.09,1,0.322,0.019,-99.0,-99.0,13.1192,0.0059,OoII
V33,84825,0,201.464833,-47.485056,9.30625,-1.79,0.3,9.99,9.99,0,,,0.6023,0.60233332,0.60233332,0.60233332,-99.0,0,0,1,2452446.5015,-99,-99,otnew_kal9704,3,8.0,1,1.177,-99.0,-99.0,-99.0,14.5381,0.0051,otnew_kal9704,2,6.0,1,1.5,-99.0,-99.0,-99.0,14.9044,0.0054,otnew_kal9704,3,2.0,-98,0.727,-99.0,-99,-99,13.9125,0.0129,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,otnew_kal9704,4,0.7,-99,1.47,-99.0,-99,-99,14.9355,0.0118,all170708b4,4,0.25,0,0.468,0.045,-99.0,-99.0,13.4088,0.0048,all170708b4,3,1.1,0,0.315,0.026,-99.0,-99.0,13.1459,0.0099,all170708b4,3,0.65,0,0.288,0.021,-99.0,-99.0,13.1412,0.0062,OoII
V34,129881,0,201.529917,-47.553056,7.98088,-1.76,0.11,9.99,9.99,0,,,0.734,0.73395501,0.73395501,0.73395501,-99.0,0,1,3,2453865.2653,-99,-99,nobad,4,32.0,1,0.79,-99.0,-99.0,-99.0,14.4283,0.0105,nobad,3,6.5,1,0.982,-99.0,-99.0,-99.0,14.9258,0.0133,nob98,3,6.0,1,0.497,-99.0,-99,-99,13.7609,0.0194,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,3,5.8,-99,1.082,-99.0,-99,-99,15.045,0.0223,all170708b4,2,0.9,0,0.325,0.029,-99.0,-99.0,13.2563,0.0067,all170708b4,3,0.6,0,0.248,0.02,-99.0,-99.0,12.9667,0.0054,all170708b4,3,0.5,0,0.281,0.019,-99.0,-99.0,12.931,0.0073,OoII
V35,367071,0,201.721833,-47.376389,6.292581,-1.74,0.05,-2.17,0.03,1,,,0.3868,0.38683322,0.38683322,0.38683322,-99.0,0,2,1,2453865.3726,-99,-99,nobad,3,24.0,1,0.488,-99.0,-99.0,-99.0,14.5023,0.008,nobad,3,4.0,1,0.599,-99.0,-99.0,-99.0,14.8797,0.0123,nob98,3,5.5,1,0.291,-99.0,-99,-99,13.9571,0.0207,nobad,3,0.3,1,0.356,-99.0,-99,-99,14.2895,0.008,nobad_u,4,15.3,-99,0.459,-99.0,-99,-99,15.0147,0.0237,all170708b4,4,0.6,0,0.175,0.013,-99.0,-99.0,13.5298,0.0073,all170708b4,97,0.25,0,0.134,0.015,-99.0,-99.0,13.2834,0.0082,all170708b4,97,0.58,0,0.097,0.012,-99.0,-99.0,13.2903,0.0077,
V36,460582,0,201.792458,-47.258222,13.871191,-1.76,0.14,-2.1,0.18,1,,,0.3798,0.37981328,0.37990927,0.37916654,-99.0,2,-1,1,2452029.7257,-99,-99,otnew_kal97,3,9.0,1,0.487,-99.0,-99.0,-99.0,14.5373,0.0413,otnew_kal97,2,3.6,-98,0.574,-99.0,-99.0,-99.0,14.7914,0.0094,otnew_kal97,2,0.6,-98,0.321,-99.0,-99,-99,13.9116,0.0106,otnew_kal97,5,0.12,-98,0.334,-99.0,-99,-99,14.2405,0.0078,otnew_kal97,5,1.2,-99,0.427,-99.0,-99,-99,15.0883,0.009,all170708b4,97,0.17,1,0.188,0.015,-99.0,-99.0,13.5293,0.0038,all170708b4,5,0.35,1,0.113,0.011,-99.0,-99.0,13.3054,0.0077,all170708b4,5,0.1,1,0.112,0.015,-99.0,-99.0,13.2946,0.0041,
V38,423235,0,201.7635,-47.608472,8.225632,-1.79,0.26,-1.95,0.01,0,3,,0.7791,0.77905902,0.77905902,0.77905902,-99.0,0,0,1,2453865.6045,-99,-99,nobad,3,1.2,1,0.606,-99.0,-99.0,-99.0,14.465,0.0115,nobad,4,5.0,1,0.77,-99.0,-99.0,-99.0,14.9409,0.0111,nobad,4,4.5,1,0.377,-99.0,-99,-99,13.7544,0.0214,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,3.6,-99,0.635,-99.0,-99,-99,15.0613,0.0181,all170708b4,5,0.23,-99,0.197,0.027,-99.0,-99.0,13.2192,0.0034,all170708b4,5,0.4,0,0.185,0.014,-99.0,-99.0,12.9165,0.0056,all170708b4,5,0.3,0,0.214,0.015,-99.0,-99.0,12.8862,0.0052,OoII
V39,608607,0,201.99925,-47.578444,13.697474,-1.72,0.57,9.99,9.99,1,,,0.3934,0.39338605,0.39338605,0.39338605,-99.0,0,0,-99,-99.0,-99,-99,nobad,3,0.1,0,0.51,0.04,-99.0,-99.0,14.5365,0.0091,nobad,3,0.07,0,0.571,-99.0,-99.0,-99.0,14.8329,0.0057,nobad,3,0.35,0,0.303,-99.0,-99,-99,13.9477,0.0114,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,0.4,-98,0.48,-99.0,-99,-99,15.2326,0.0133,all170708b4,97,0.58,0,0.179,0.015,-99.0,-99.0,13.57,0.005,all170708b4,97,0.9,0,0.112,0.011,-99.0,-99.0,13.328,0.007,all170708b4,5,1.25,0,0.117,0.01,-99.0,-99.0,13.3196,0.0069,
V40,204610,0,201.602292,-47.513,4.230287,-1.77,0.02,-1.83,0.41,0,,,0.6341,0.63409776,0.63409776,0.63409776,-99.0,0,2,1,2454705.7382,-99,-99,nobad,3,16.0,1,1.121,-99.0,-99.0,-99.0,14.5115,0.0089,nobad,3,3.2,1,1.394,-99.0,-99.0,-99.0,14.9411,0.0174,nob98,3,5.8,1,0.714,-99.0,-99,-99,13.8662,0.0364,nobad,4,0.7,-99,0.851,-99.0,-99,-99,13.965,0.0099,nobad_u,4,3.6,-99,1.116,-99.0,-99,-99,15.1093,0.0219,all170708b4,3,0.4,0,0.489,0.061,-99.0,-99.0,13.4074,0.0056,all170708b4,3,0.9,0,0.313,0.031,-99.0,-99.0,13.1289,0.0077,all170708b4,3,1.0,0,0.319,0.029,-99.0,-99.0,13.0948,0.0086,OoII
