100881648       2454676.34320   16.903  B
100881648       2454676.35783   16.919  B
100881648       2454676.36861   16.913  B
100881648       2454676.37939   16.933  B
100881648       2454676.39017   16.913  B
100881648       2454676.40096   16.964  B
100881648       2454676.41174   16.955  B
100881648       2454676.42253   16.963  B
100881648       2454676.43331   16.947  B
100881648       2454676.46754   16.985  B
100881648       2454676.47832   16.943  B
100881648       2454676.48911   16.945  B
100881648       2454676.49991   16.869  B
100881648       2454676.51071   16.889  B
100881648       2454676.52150   16.819  B
100881648       2454676.53228   16.766  B
100881648       2454676.54306   16.786  B
100881648       2454676.55384   16.608  B
100881648       2454677.36467   16.727  B
100881648       2454677.37525   16.753  B
100881648       2454677.45371   16.837  B
100881648       2454677.46429   16.849  B
100881648       2454677.47486   16.867  B
100881648       2454677.48543   16.881  B
100881648       2454677.49600   16.867  B
100881648       2454677.50657   16.897  B
100881648       2454677.51714   16.889  B
100881648       2454677.52771   16.909  B
100881648       2454676.34987   15.686  R
100881648       2454676.36363   15.694  R
100881648       2454676.37441   15.691  R
100881648       2454676.38519   15.695  R
100881648       2454676.39597   15.699  R
100881648       2454676.40676   15.724  R
100881648       2454676.41755   15.722  R
100881648       2454676.42833   15.726  R
100881648       2454676.43911   15.730  R
100881648       2454676.46255   15.738  R
100881648       2454676.47333   15.750  R
100881648       2454676.48413   15.750  R
100881648       2454676.49491   15.718  R
100881648       2454676.50572   15.698  R
100881648       2454676.51652   15.680  R
100881648       2454676.52730   15.637  R
100881648       2454676.53808   15.588  R
100881648       2454676.54886   15.582  R
100881648       2454676.55964   15.561  R
100881648       2454677.37047   15.566  R
100881648       2454677.45951   15.602  R
100881648       2454677.47009   15.629  R
100881648       2454677.48066   15.624  R
100881648       2454677.49123   15.630  R
100881648       2454677.50180   15.638  R
100881648       2454677.51237   15.645  R
100881648       2454677.52294   15.647  R
100881648       2454677.54409   15.661  R
100881648       2454677.55466   15.658  R
100881648       2454676.36116   16.121  V
100881648       2454676.37194   16.119  V
100881648       2454676.38272   16.122  V
100881648       2454676.39350   16.130  V
100881648       2454676.40429   16.135  V
100881648       2454676.41508   16.146  V
100881648       2454676.42586   16.161  V
100881648       2454676.43664   16.157  V
100881648       2454676.44742   16.156  V
100881648       2454676.47087   16.172  V
100881648       2454676.48166   16.161  V
100881648       2454676.49244   16.148  V
100881648       2454676.50325   16.118  V
100881648       2454676.51405   16.094  V
100881648       2454676.52483   16.020  V
100881648       2454676.53561   16.003  V
