  1   4237.1460  -0.3481    -0.0011
  2   4237.6211  -0.3223     0.0020
  3   4238.0891  -0.3212    -0.0019
  4   4238.5593  -0.3433    -0.0036
  5   4239.0325  -0.3235    -0.0023
  6   4239.5027  -0.3198    -0.0040
  7   4239.9727  -0.3320    -0.0060
  8   4240.4509  -0.3178     0.0003
  9   4240.9238  -0.2999     0.0013
 10   4241.3940  -0.3041    -0.0004
 11   4241.8623  -0.3200    -0.0040
 12   4242.3445  -0.2937     0.0062
 13   4242.8106  -0.2937     0.0004
 14   4243.2808  -0.2988    -0.0014
 15   4243.7578  -0.2943     0.0038
 16   4244.2319  -0.2883     0.0060
 17   4244.6968  -0.2926    -0.0011
 18   4245.1719  -0.3093     0.0021
 19   4245.6462  -0.2897     0.0045
 20   4246.1162  -0.2878     0.0026
 21   4246.5864  -0.3196     0.0009
 22   4247.0586  -0.3165     0.0011
 23   4247.5308  -0.2958     0.0013
 24   4248.0059  -0.3138     0.0045
 25   4248.4749  -0.3327     0.0016
 26   4248.9490  -0.3107     0.0038
 27   4249.4204  -0.3115     0.0033
 28   4249.8914  -0.3254     0.0023
 29   4250.3613  -0.3306     0.0004
 30   4250.8367  -0.3198     0.0038
 31   4251.3047  -0.3351    -0.0001
 32   4251.7788  -0.3297     0.0021
 33   4252.2522  -0.3181     0.0036
 34   4252.7212  -0.3187     0.0006
 35   4253.1924  -0.3417    -0.0001
 36   4253.6655  -0.3186     0.0011
 37   4254.1375  -0.3269     0.0011
 38   4254.6047  -0.3417    -0.0035
 39   4255.0808  -0.3360     0.0006
 40   4255.5510  -0.3204    -0.0011
 41   4256.0230  -0.3243    -0.0011
 42   4256.4919  -0.3385    -0.0040
 43   4256.9724  -0.3264     0.0045
 44   4257.4365  -0.3199    -0.0033
 45   4257.9136  -0.3298     0.0019
 46   4258.3826  -0.3174    -0.0011
 47   4258.8530  -0.3175    -0.0025
 48   4259.3240  -0.3164    -0.0035
 49   4259.8010  -0.3153     0.0016
 50   4260.2703  -0.3012    -0.0011
 51   4260.7444  -0.3005     0.0011
 52   4261.2146  -0.3120    -0.0006
 53   4261.6899  -0.2990     0.0028
