 4236.75428   -0.112178
 4236.76021   -0.099896
 4236.76613   -0.080019
 4236.77206   -0.070552
 4236.77798   -0.052890
 4236.78391   -0.034151
 4236.78984   -0.023345
 4236.79576   -0.008627
 4236.80169    0.011146
 4236.80762    0.011767
 4236.81354    0.026723
 4236.81947    0.041093
 4236.82540    0.053244
 4236.83132    0.062502
 4236.83725    0.072168
 4236.84318    0.076972
 4236.84910    0.088106
 4236.85503    0.100335
 4236.86095    0.103268
 4236.86688    0.110900
 4236.87873    0.131142
 4236.88466    0.139844
 4236.89059    0.142760
 4236.89651    0.145636
 4236.90244    0.143502
 4236.90837    0.163508
 4236.91429    0.166796
 4236.92022    0.168015
 4236.93207    0.176773
 4236.93800    0.182873
 4236.95578    0.197072
 4236.96170    0.198786
 4236.96763    0.197725
 4236.97356    0.212258
 4236.97948    0.211205
 4236.98541    0.214727
 4236.99134    0.224208
 4236.99726    0.229011
 4237.00319    0.230772
 4237.00911    0.234819
 4237.02689    0.234025
 4237.03282    0.226848
 4237.03875    0.210959
 4237.04467    0.197616
 4237.05060    0.175445
 4237.10394   -0.136599
 4237.10986   -0.178078
 4237.11579   -0.220246
 4237.12172   -0.264860
 4237.12764   -0.305253
 4237.13357   -0.332747
 4237.13950   -0.345220
 4237.14542   -0.343020
 4237.15135   -0.340051
 4237.15728   -0.346303
 4237.16320   -0.304503
 4237.16913   -0.295716
 4237.17505   -0.273626
 4237.18098   -0.259723
 4237.18691   -0.241018
 4237.19283   -0.223745
 4237.19876   -0.206526
 4237.20469   -0.192045
 4237.21061   -0.171788
 4237.21654   -0.154321
 4237.22247   -0.138042
 4237.22839   -0.119643
 4237.23432   -0.103044
 4237.24024   -0.088638
 4237.24617   -0.072515
 4237.25210   -0.053042
 4237.25802   -0.037491
 4237.26395   -0.024553
 4237.26988   -0.012440
 4237.27580    0.003341
 4237.28173    0.013907
 4237.28766    0.030785
 4237.29358    0.037903
 4237.29951    0.049701
 4237.30544    0.060881
 4237.31136    0.067211
 4237.31729    0.076548
 4237.32321    0.086358
 4237.32914    0.096313
 4237.33507    0.103186
 4237.34099    0.102743
 4237.34692    0.126203
 4237.35285    0.122640
 4237.36470    0.135726
 4237.37063    0.148830
 4237.37655    0.143470
 4237.38248    0.164252
 4237.38841    0.174627
 4237.39433    0.183680
 4237.40026    0.196893
 4237.40618    0.199923
 4237.42396    0.213133
 4237.42989    0.219060
 4237.43582    0.223446
 4237.44174    0.218923
 4237.44767    0.223399
 4237.45360    0.226552
 4237.45952    0.233414
 4237.46545    0.235423
 4237.47137    0.237836
 4237.47730    0.240868
 4237.49508    0.247399
 4237.50101    0.240234
 4237.54249    0.019174
 4237.54842   -0.061429
 4237.57805   -0.226410
 4237.58398   -0.241923
 4237.58990   -0.257149
